sentence	lexical verb	trans	gloss	form	comment	p	text	part	theme	perspective	speaker	language	dialect	affiliation	source	page	note
27	приносить		NPL.V-IMP	imperative	quote	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
28	идти		2=V.PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
28	приносить + быть		NPL=V.PF + V=NPL	perfect		P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
29	забывать		4=V.PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
29	говорить		V-POT	infinitive		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
29	знать-стать		4.V-4.V.PF-A-KI	aorist	atr / subordinating particle	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
29	делать		4.V.PF-A	participle		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
29	класть.внутрь		4.V-PF	converb		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
29	стать		4.V.PF-MSD	masdar	become	nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	785	
30	делать		2=V.PF-AOBL	participle		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
30	класть + стать		3=V-PF + 3=V.PF-AA	?	become	NA	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
31	приходить + не.быть		4=V.PF + V	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
32	приносить-делать		V-NPL.V-PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
32	переворачиваться-делать		NPL.V-NPL.V-PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
32	говорить + быть		V.PF + V=4	perfect	present	P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
32	нравиться-стать		V-NEG-NPL.V.PF-A-PL	?		NA	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
32	идти		2.V.IMP	imperative	quote	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
32	приносить		NPL.V-IMP	imperative	quote	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
33	оборачиваться		2=V.PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
33	уходить		2.V.IPF-TEMP1	converb		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
33	брать		3=V-PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
33	выходить + быть		1.V-PF V=1	perfect		P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
34	смотреть		2.V-PF-AA	aorist	atr	not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
34	не.быть-быть		V-V=1	present		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
35	стать		1.V-COND1	conditional		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
35	прятаться-стать		V-1.V.PF	aorist		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
35	уходить-быть		1=V.PF-V=1	perfect		P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
36	шевелиться		4=V.PF-TEMP1	converb		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
36	доходить		4=V.PF-TEMP1	converb		nonfinite	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
36	начинать + быть		HPL=V.PF + V=HPL	perfect		P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
36	давать		3.V-IPF	present		not P	3. История про известного вора в законе Ибрагим-пашу		story about another person	indirect	Тагир Айвазов	Tsakhur		Lezgic	Kibrik et al. (1999)	786	
1	быть + есть		N=V=N=CONV + COP	perfect		P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	727	
2	быть + есть		N=V=N=CONV + COP	perfect		P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	727	
3	быть		HPL=V=HPL	preterite		not P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	727	
3	быть		HPL=V=HPL	preterite		not P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	727	
3	быть		HPL=V=HPL	preterite		not P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	727	
3	быть		HPL=V=HPL	preterite		not P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	727	
4	быть		M=V	preterite		not P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	727	
5	делать + быть		V-IPF-PART=N + N=V	imperfect	preterite series	not P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	727	
6	быть		HPL=V=HPL	preterite		not P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
7	выбирать + быть		M=V.IPF-PART=M + M=V	imperfect	preterite series	not P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
7	видеть		V=N=CONV	converb		nonfinite	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
7	видеть		V=N=CONV	converb		nonfinite	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
7	видеть		V=N=CONV	converb		nonfinite	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
8	быть + есть		N=V=N=CONV + COP	perfect		P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
8	красть		V-MSD	masdar		nonfinite	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
8	быть + есть		N=V=N=CONV + COP	perfect		P	1. История селения Кванада		about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
9	красть + есть		V=N=CONV + COP	perfect		P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
10	резать		N=V=N=CONV	converb		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
10	варить		N=V=N=CONV	converb		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
10	собираться		HPL=V=HPL=CONV	converb		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
10	кушать + быть + есть		V-IPF-CONV + HPL=V=HPL=CONV + COP	imperfect	perfect series	P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
11	приходить		HPL=V=HPL=CONV	preterite		not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
11	стрелять		V-IPF-INF	infinitive		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
12	делать		V=HPL=CONV	converb		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
12	кушать + быть + есть		V-IPF-CONV + HPL=V=HPL=CONV + COP	imperfect	perfect series	P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
13	стрелять		V-PART=N	participle		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
13	падать + есть		N=V=N=CONV + COP	perfect		P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	728	
14	начинать		V=HPL	preterite		not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	729	
14	вставать		V-POT-FUT-CONV	converb		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	729	
15	говорить		V	preterite		not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	729	
15	шевелиться		V-MS-BI-PRH	prohibitive	quote	not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	729	
16	достигать		N=V-IPF-PART=N	participle	quote	nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	729	
16	знать		N=V-POT-COND	conditional	quote	nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	729	
16	оставлять + не.есть		?		quote	NA	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	729	
17	шевелиться		V-NEG-COND	conditional	quote	nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	729	
17	думать + есть		V-MS.POT-FUT-PART=N + COP	?	quote	NA	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	729	
17	достигать + не.есть		N=V-IPF-CONV + COP-DI	?	quote	NA	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	729	
18	достигать + не.есть		N=V-IPF-CONV + COP-DI-LA	?		NA	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
18	говорить		V=N=CONV	converb		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
18	уходить + есть		HPL=V=HPL=CONV + COP	perfect		P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
19	прыгать		V-MSD	masdar		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
19	забирать		N=V-MSD	masdar		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
19	увеличиваться		V-MS.IPF.INF	infinitive		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
19	начинаться		V	preterite		not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
20	надоедать		V=N=CONV	converb		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
20	делать		V	preterite		not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
20	собираться		HPL=V-POT.INF	infinitive		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
20	делать		V-POT.INF	infinitive		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
21	приходить + есть		N=V-IPF-CONV + COP	perfect		P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
21	делать		V-IPF.INF	infinitive		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
22	делать		V	preterite		not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
22	отпускать		N=V	preterite	translated as a converb	nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
22	оставлять		N=V-POT.INF	infinitive		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
23	отпускать		N=V	preterite		not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
23	оставлять		N=V=PART.N	participle		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
23	идти + есть		N=V=N=CONV + COP	perfect		P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
23	говорить		V-IPF-PART=N	participle		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
24	быть		N=V	preterite		not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
24	есть		COP=PART.N	participle		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
24	расти		N=V-IPF-PART=N	participle		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
25	делать		V	preterite		not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
26	быть		N=V	preterite		not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
27	класть		N=V=N=CONV	converb		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
27	запирать		V-IPF-PART=N	participle		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
27	быть		N=V	preterite		not P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	730	
28	охранять		V-MS.POT.INF	infinitive		nonfinite	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
28	оставлять + быть + есть		M=V-IPF-PART=M + M=V=M=CONV + COP	?	perfect series	P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
29	быть + есть		N=V=N=CONV + COP	perfect		P	1. История селения Кванада	Случай с харашинцами и лачинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
30	находить		NPL=V=PART.NPL	participle		nonfinite	1. История селения Кванада	Христианство	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
30	быть		NPL=V	preterite		not P	1. История селения Кванада	Христианство	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
31	рассказывать + есть		N=V-IPF-CONV + COP	perfect		P	1. История селения Кванада	Христианство	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
31	быть		N=V-MSD	masdar		nonfinite	1. История селения Кванада	Христианство	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
32	сплачиваться		V-PART=N	participle		nonfinite	1. История селения Кванада	Хорабцы	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
32	быть + есть		N=V=N=CONV + COP	perfect		P	1. История селения Кванада	Хорабцы	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
33	говорить + быть		V-IPF-PART=N + N=V	?	preterite series	not P	1. История селения Кванада	Хорабцы	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
33	умирать		N=V=PART.N=TEMP-LA	converb	quote	nonfinite	1. История селения Кванада	Хорабцы	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
33	собираться		HPL=V-IPF-PART=HPL=DI	participle	quote	nonfinite	1. История селения Кванада	Хорабцы	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
34	быть + есть		N=V=N=CONV + COP	perfect		P	1. История селения Кванада	Хорабцы	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
35	стать		N=V-POT-COND	conditional		nonfinite	1. История селения Кванада	Хорабцы	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
35	подниматься + быть + есть		V-CAUS-IPF-PART=N + N=V=N=CONV + COP		perfect series	P	1. История селения Кванада	Хорабцы	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
36	распространяться		V-CAUS-IPF.INF	infinitive		nonfinite	1. История селения Кванада	Распространение религии в Кванаде	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	731	
36	делать		V-POT-POST	converb		nonfinite	1. История селения Кванада	Распространение религии в Кванаде	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
36	идти		N=V	preterite		not P	1. История селения Кванада	Распространение религии в Кванаде	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
36	брать		N=V-NEG=N=CONV	converb		nonfinite	1. История селения Кванада	Распространение религии в Кванаде	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
37	бороться		V	preterite		not P	1. История селения Кванада	Распространение религии в Кванаде	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
37	брать		N=V-IPF.INF	infinitive		nonfinite	1. История селения Кванада	Распространение религии в Кванаде	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
37	противиться		N=V=N=CONV	converb		nonfinite	1. История селения Кванада	Распространение религии в Кванаде	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
38	стать + есть		N=V=N=CONV + COP	perfect		P	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
39	распространяться		V-CAUS.POT.INF	infinitive		nonfinite	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
39	приходить		HPL=V=PART.HPL=SUP.LAT	participle		nonfinite	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
39	говорить + быть		V-IPF-PART=N + N=V		preterite series	not P	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
40	стать		N=V=PART.N	participle		nonfinite	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
40	проигрывать		HPL=V-CAUS=HPL	preterite		not P	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
41	стать		N=V=PART.N	participle		nonfinite	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
41	говорить		V-IPF-PART=N	participle		nonfinite	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
41	умирать		HPL=V-CAUS.PART=N	participle		nonfinite	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
42	попадать		HPL=V-CAUS=HPL	preterite		not P	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
43	прятаться + есть		N=V-CAUS=N=CONV + COP	perfect		P	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
43	привязывать + есть		V=N=CONV + COP	perfect		P	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
44	оставлять + есть		N=V=N=CONV + COP	perfect		P	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	732	
45	отпускать		NPL=V-IPF-CONV-DA	converb		nonfinite	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	733	
45	приезжать		HPL=V=HPL=IPF-PART=HPL	participle		nonfinite	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	733	
45	попадать		HPL=V=HPL=CONV	converb		nonfinite	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	733	
45	уходить + есть		HPL=V=HPL=CONV + COP	perfect		P	1. История селения Кванада	Сражение с гидатлинцами	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	733	
46	бороться		V=HPL=CONV	converb		nonfinite	1. История селения Кванада	Строительство мечети и минарета	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	733	
46	делать + есть		V=N=CONV + COP	perfect		P	1. История селения Кванада	Строительство мечети и минарета	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	733	
47	быть		N=V	preterite		not P	1. История селения Кванада	Строительство мечети и минарета	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	733	
48	брать		N=V=N=CONV	converb		nonfinite	1. История селения Кванада	Строительство мечети и минарета	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	733	
48	делать + есть		V=N=CONV + COP	perfect		P	1. История селения Кванада	Строительство мечети и минарета	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	733	
49	делать		V-IPF-PART=N=TEMP	converb		nonfinite	1. История селения Кванада	Строительство мечети и минарета	about the village long ago	indirect	Али Расулов	Bagvalal	Kvanada	Andic	Kibrik et al. (2001)	733	
